 IBDRY ENLAY HSEA DEO TSCDF WFC PEP NVS DTE.DE GPDNF BP RBS PG JNJ GE C VZ NTT EOAN.DE OR.PA GBPEUR USDEUR CHFEUR EURJPY 
30-1-2015 27.73 4.485 26.685 118.64 3.4 52.335 94.445 97.955 15.4 67.22 38.745 10.92 84.735 101.045 23.965 47.315 46.035 29.63 13.825 158.45 1.38252 0.926946 0.945802 129.725 
29-1-2015 27.955 4.53 26.65 121.57 3.425 52.4 95.675 98.57 15.27 67.22 38.525 11.13 85.63 101.565 23.99 47.305 45.825 29.38 13.82 158.05 1.38541 0.936665 0.941478 129.146 
28-1-2015 27.7 4.46 26.67 118.545 3.42 52.755 96.715 98.05 15.11 67.235 39.32 11.285 85.96 102.185 24.15 47.81 46.53 29.305 13.645 155.775 1.39031 0.946101 0.939579 128.68 
27-1-2015 27.895 4.525 26.625 118.09 3.49 52.955 96.65 98.775 15.075 68.4 40.09 11.395 86.615 101.85 24.33 48.21 46.59 28.76 13.67 157.325 1.39906 0.946101 0.940592 128.263 
26-1-2015 27.595 4.525 26.63 118.44 3.45 53.245 98.31 97.035 14.965 68.35 39.505 11.53 89.345 101.83 24.57 48.72 46.795 28.54 13.605 156.7 1.40352 0.95026 0.945107 127.69 
23-1-2015 27.415 4.425 26.665 118.01 3.53 53.61 98.545 97.385 14.825 64.95 38.82 11.36 90.57 102.455 24.59 49.185 47.455 28.36 13.525 153.175 1.40744 0.949891 0.944748 127.755 
22-1-2015 27.165 4.45 26.57 116.585 3.55 53.15 98.02 96.485 14.39 64.95 38.825 11.62 90.78 102.7 24.16 48.84 47.695 28.485 13.32 149.05 1.41243 0.943438 0.938704 128.615 
21-1-2015 26.785 4.355 26.6 116.385 3.425 52.205 97.41 98.995 14.225 64.95 38.375 11.38 90.41 101.25 23.895 47.69 48.005 27.585 13.215 148.125 1.4088 0.935724 0.936715 129.7 
20-1-2015 26.35 4.3 26.71 115.46 3.39 52 97.58 101.635 14.245 64.755 37.705 11.51 91.145 101.155 23.71 47.575 47.98 27.845 13.2 147.15 1.39624 0.925473 0.935129 131.021 
16-1-2015 25.97 4.25 26.68 114.47 3.3 51.105 96.885 100.045 14.13 63.76 37.385 10.975 90.605 103.31 23.55 47.145 47.575 27.655 13.14 147.025 1.38894 0.921678 0.935155 131.183 
