 IBDRY ENLAY HSEA DEO TSCDF WFC PEP NVS GBPEUR USDEUR CHFEUR 
30-1-2015 27,73 4,485 26,685 118,64 3,4 52,335 94,445 97,955 1,38541 0,936665 0,941478 
29-1-2015 27,955 4,53 26,65 121,57 3,425 52,4 95,675 98,57 1,39031 0,946101 0,939579 
28-1-2015 27,705 4,46 26,67 118,545 3,42 52,755 96,715 98,05 1,39906 0,946101 0,940592 
27-1-2015 27,895 4,525 26,625 118,09 3,49 52,955 96,65 98,775 1,40352 0,95026 0,945107 
26-1-2015 27,595 4,525 26,63 118,44 3,45 53,245 98,31 97,035 1,40744 0,949891 0,944748 
23-1-2015 27,415 4,425 26,665 118,01 3,53 53,61 98,545 97,385 1,41243 0,943438 0,938704 
22-1-2015 27,165 4,45 26,57 116,585 3,55 53,15 98,02 96,485 1,4088 0,935724 0,936715 
21-1-2015 26,785 4,355 26,6 116,385 3,425 52,205 97,41 98,995 1,39624 0,925473 0,935129 
20-1-2015 26,35 4,3 26,71 115,46 3,39 52 97,58 101,635 1,38894 0,921678 0,935155 
16-1-2015 25,825 4,25 26,68 114,47 3,3 51,105 96,885 100,045 1,38427 0,915467 0,935286 
15-1-2015 25,62 4,15 26,585 113,19 3,3 51 96,85 99,125 1,37844 0,902417 0,934479 
14-1-2015 25,86 4,06 26,59 111,655 3,31 51,075 96,13 96,645 1,37567 0,896598 0,933046 
13-1-2015 25,95 4,105 26,61 112,82 3,27 51,89 96,655 96,395 1,37473 0,893857 0,933142 
12-1-2015 26,055 4 26,58 111,56 3,19 52,2 96,765 95,645 1,37672 0,893444 0,935375 
9-1-2015 26 4,1 26,705 110,955 3,095 53,13 97,13 96,27 1,37508 0,889662 0,934198 
8-1-2015 26,175 4,24 26,73 111,29 3,095 53,275 97,295 94,835 1,36768 0,882818 0,929457 
7-1-2015 25,875 4,095 26,73 109,765 3,075 52,375 95,33 91,775 1,36401 0,881583 0,928376 
6-1-2015 26,115 4,145 26,635 109,25 2,79 52,66 93,78 91,855 1,36083 0,882085 0,929914 
5-1-2015 26,245 4,125 26,64 111,12 2,715 53,73 94,385 92,815 1,35523 0,880208 0,933103 
2-1-2015 26,89 4,385 26,6 112,76 2,8 54,69 94,695 92,53 1,35358 0,87834 0,93375 
31-12-2014 27,005 4,41 26,435 114,605 2,9 55,245 95,26 93,175 1,35352 0,877694 0,931314 
30-12-2014 27,27 4,45 26,4 114,9 2,93 55,575 96,35 93,295 1,35114 0,878509 0,937636 
29-12-2014 27,32 4,46 26,355 116,165 2,91 55,515 96,56 94 1,35049 0,878383 0,942293 
26-12-2014 27,59 4,575 26,73 117,01 2,9 55,4 97,27 94,06 1,35126 0,877527 0,942223 
24-12-2014 27,645 4,57 26,775 116,68 2,91 55,53 97,47 93,665 1,35054 0,879213 0,944352 
23-12-2014 27,62 4,565 26,77 115,565 2,9 55,35 97,18 93,84 1,34839 0,882561 0,950412 
22-12-2014 27,53 4,475 26,81 115,675 2,87 54,655 96,065 95,285 1,34787 0,883876 0,954275 
19-12-2014 27,54 4,465 26,785 114,325 2,88 54,935 95,705 94,5 1,34574 0,88331 0,95516 
18-12-2014 27,65 4,49 26,74 114,02 2,855 54,785 94,575 94 1,34608 0,883231 0,954611 
17-12-2014 27,44 4,42 26,615 112,165 2,835 53,395 93,265 92,08 1,34407 0,88158 0,952167 
16-12-2014 27,27 4,44 26,595 113,92 2,895 53,25 93,75 91,97 1,33359 0,876303 0,947336 
15-12-2014 27,05 4,365 26,61 113,875 2,74 53,785 94,79 92,46 1,32546 0,875365 0,94619 
12-12-2014 27,46 4,475 26,595 115,635 2,625 54,135 95,74 94,145 1,32617 0,880543 0,950637 
11-12-2014 27,8 4,595 26,59 117,855 2,605 54,775 96,505 94,61 1,33151 0,884298 0,95648 
10-12-2014 28,02 4,625 26,53 119,615 2,57 54,65 96,835 94,545 1,33608 0,885744 0,964334 
9-12-2014 28,255 4,645 26,55 120,545 2,615 54,475 96,98 94,425 1,33801 0,883785 0,970537 
8-12-2014 28,965 4,79 26,515 121,63 2,695 54,87 97,805 95,81 1,33829 0,882927 0,977616 
5-12-2014 29,075 4,78 26,475 122,495 2,755 55,1 97,565 95,67 1,3387 0,887614 0,990494 
4-12-2014 29,065 4,68 26,52 121,59 2,725 54,405 97,84 95,795 1,3387 0,891686 1,00806 
3-12-2014 28,89 4,73 26,64 122,37 2,935 54,355 98,94 95,44 1,32726 0,881773 1,01016 
2-12-2014 28,97 4,71 26,655 123,775 2,955 54,095 100,09 95,5 1,30876 0,865115 1,00086 
1-12-2014 28,895 4,735 26,65 123,42 2,925 54,145 99,32 96,565 1,30699 0,863745 0,991167 
28-11-2014 29,035 4,775 26,75 123,575 2,97 54,505 100,11 96,7 1,30632 0,863321 0,988116 
26-11-2014 28,98 4,715 26,745 120,245 2,94 54,195 99,325 95,405 1,30813 0,863577 0,998679 
25-11-2014 29,365 4,67 26,675 119,665 2,87 54,04 98,845 94,85 1,3058 0,860529 0,962975 
24-11-2014 29,1 4,59 26,775 120,7 2,895 54,145 98,87 94,84 1,29521 0,851859 0,86711 
21-11-2014 28,475 4,6 26,775 120,24 2,95 53,895 98,685 94,845 1,28717 0,848064 0,832663 
20-11-2014 27,915 4,475 26,895 118,525 2,965 53,32 98,245 95,34 1,28232 0,846019 0,832663 
19-11-2014 28,225 4,57 26,9 118,08 2,965 53,165 98,095 95,61 1,28035 0,844723 0,832663 
18-11-2014 28,145 4,63 26,835 119,05 3,055 53,265 98,18 95,385 1,27927 0,845473 0,832663 
17-11-2014 27,68 4,55 26,785 118,06 3,05 53,18 97,7 94,395 1,27693 0,845693 0,832637 
14-11-2014 27,405 4,56 26,655 117,84 3,015 53,46 97,955 93,79 1,27567 0,841551 0,832588 
13-11-2014 27,4 4,515 26,615 118,785 3,045 53,395 97,745 94,125 1,27702 0,838052 0,832327 
12-11-2014 27,555 4,57 26,525 117,985 3,01 53,44 96,805 92,805 1,27828 0,835936 0,83209 
11-11-2014 27,885 4,825 26,485 118,565 3,015 53,815 97,01 92,46 1,28097 0,830675 0,831788 
10-11-2014 27,71 4,78 26,46 117,645 3,05 53,805 96,575 92,265 1,28544 0,825348 0,831526 
7-11-2014 27,395 4,685 26,41 115,885 3,01 53,945 96,155 91,53 1,28089 0,823271 0,831526 
6-11-2014 27,85 4,865 26,355 116,63 3,01 53,8 96,855 92,265 1,27735 0,821953 0,831361 
5-11-2014 27,845 4,875 26,37 116,035 3,095 53,34 97,115 92,635 1,27686 0,820879 0,831261 
4-11-2014 27,82 4,81 26,355 115,745 3,065 53,2 96,415 91,77 1,27692 0,820657 0,831384 
3-11-2014 27,92 4,83 26,275 116,505 2,935 53,345 96,02 91,515 1,27548 0,820287 0,831551 
